frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.96913,  1, 0, 0, 0.207814, 0, 0, 0.324223, 1.00058, 0, 0, 0, 0, 0.265953, 0.344037, 2.74141, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0
2,  0.05,  0.971436,  1, 0, 0, 0.152264, 0, 0, 0.361323, 0.953178, 0, 0, 0, 0, 0.227794, 0.194161, 2.72532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0
3,  0.1,  0.969372,  1, 0, 0, 0.0829929, 0, 0, 0.491716, 0.921004, 0, 0, 0, 0, 0.213747, 0.193994, 2.71394, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0
4,  0.15,  0.970009,  1, 0, 0, 0.0617098, 0, 0, 0.489831, 0.820681, 0, 0, 0, 0, 0.263964, 0.25109, 2.67651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
5,  0.2,  0.971256,  1, 0, 0, 0, 0, 0, 0.489029, 0.642877, 0, 0, 0, 0, 0.161037, 0.322492, 2.57349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
6,  0.25,  0.9723,  1, 0, 0, 0, 0, 0, 0.298983, 0.41718, 0, 0, 0, 0, 0.0882705, 0.207981, 2.37599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
7,  0.3,  0.970948,  1, 0, 0.0130085, 0, 0, 0, 0.315236, 0.203836, 0, 0, 0, 0, 0.010551, 0.0714021, 2.05182, 0, 0, 0.00481775, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
8,  0.35,  0.968234,  1, 0.0246937, 0.0432885, 0, 0, 0, 0.36313, 0.12075, 0, 0, 0, 0, 0.00183659, 0, 1.50357, 0, 0, 0.168476, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
9,  0.4,  0.966609,  1, 0.0902251, 0.0432885, 0, 0, 0, 0.558816, 0.112297, 0, 0, 0, 0, 0, 0, 0.840003, 0, 0, 0.417806, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
10,  0.45,  0.970015,  1, 0.129683, 0.03028, 0, 0, 0, 0.713459, 0.112297, 0, 0.0125776, 0, 0, 0, 0, 0.300992, 0.318852, 0, 0.548479, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
