frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.983785,  1, 0.329813, 0.160479, 0, 0, 0, 0, 0, 0, 0, 0, 0.324823, 0, 0, 0, 0.133565, 0.23148, 0.0554941, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,  0.05,  0.983897,  1, 0.297364, 0.0677828, 0, 0, 0, 0, 0, 0, 0, 0, 0.347802, 0.0133588, 0, 0, 0.150677, 0.289347, 0.0275806, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,  0.1,  0.983705,  1, 0.324329, 0.0142899, 0, 0, 0, 0, 0, 0, 0, 0, 0.38248, 0.0133588, 0, 0, 0.106156, 0.212187, 0.0312719, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,  0.15,  0.981766,  1, 0.369754, 0.0142899, 0, 0.0726125, 0, 0, 0, 0, 0, 0, 0.314628, 0.0853222, 0, 0, 0.143851, 0.212564, 0.043989, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,  0.2,  0.984065,  1, 0.281336, 0.0118401, 0, 0.1177, 0, 0, 0, 0, 0, 0.0820934, 0.188384, 0.255675, 0, 0.0276966, 0.0770159, 0.104565, 0.0352621, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,  0.25,  0.983666,  1, 0.144433, 0.0118401, 0, 0.1177, 0, 0, 0, 0, 0, 0.210359, 0.0454317, 0.458726, 0, 0.0931137, 0.0770159, 0.104565, 0.0130728, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
7,  0.3,  0.982825,  1, 0.014096, 0.0118401, 0, 0.0450875, 0, 0, 0, 0, 0, 0.38969, 0, 0.550062, 0, 0.135831, 0, 0, 0.0036454, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
8,  0.35,  0.983074,  1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.580605, 0, 0.494302, 0, 0.199129, 0, 0, 0.0032897, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
9,  0.4,  0.981795,  1, 0, 0, 0, 0, 0, 0, 0.024357, 0, 0.0536204, 0.814095, 0, 0.332752, 0.0641959, 0.170322, 0.37376, 0.238882, 0.0032897, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.45,  0.983146,  1, 0, 0, 0, 0, 0, 0, 0.0493635, 0, 0.127754, 1.03693, 0, 0.229281, 0.0738226, 0.127605, 0.712413, 0.433847, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
11,  0.5,  0.981261,  1, 0, 0, 0, 0, 0, 0, 0.0631627, 0, 0.190514, 1.10794, 0, 0.165741, 0.0738226, 0.0561705, 1.1411, 0.718905, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
12,  0.55,  0.982585,  1, 0, 0, 0, 0, 0, 0, 0.0609219, 0, 0.194985, 1.10701, 0, 0.12424, 0.0626657, 0.0195606, 1.18669, 0.801948, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
13,  0.6,  0.982672,  1, 0, 0, 0, 0, 0, 0, 0.0497953, 0, 0.191348, 1.05336, 0, 0.0892231, 0.0751754, 0.0195606, 1.32284, 0.914103, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
14,  0.65,  0.983018,  1, 0, 0, 0, 0, 0, 0, 0.0416397, 0, 0.211494, 1.04554, 0, 0.0744368, 0.0664091, 0, 1.4244, 0.921363, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0
