frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.961492,  1, 0.51389, 0, 0.189267, 0.0586484, 0, 0, 0, 0.0237306, 0.0418248, 0.514715, 0, 0, 0, 0, 0, 0.069015, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.05,  0.963452,  1, 0.334333, 0, 0.110713, 0.0351017, 0, 0.00679215, 0, 0.0720634, 0.0139416, 0.626654, 0, 0.0120775, 0, 0, 0.00926974, 0.150263, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
3,  0.1,  0.962381,  1, 0.163036, 0, 0.108154, 0.0155523, 0, 0.132736, 0, 0.157325, 0, 0.521779, 0, 0.0120775, 0, 0, 0.00926974, 0.277177, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
4,  0.15,  0.964628,  1, 0.0505379, 0, 0.274509, 0, 0.0590896, 0.551248, 0, 0.2363, 0, 0.453265, 0, 0, 0.0617481, 0, 0, 0.272076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.2,  0.965286,  1, 0.0239118, 0, 0.499951, 0, 0.209664, 0.796283, 0, 0.508168, 0, 0.35782, 0, 0.0622028, 0.0638469, 0, 0.0774995, 0.149919, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.25,  0.965032,  1, 0.0239118, 0, 0.645737, 0, 0.457933, 1.25658, 0, 0.858606, 0.0368156, 0.425633, 0.0331319, 0.39191, 0.106258, 0, 0.183138, 0.0159425, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
7,  0.3,  0.969025,  1, 0.0143032, 0.0212161, 0.706647, 0, 0.684241, 1.43587, 0, 1.22353, 0.0604124, 0.358577, 0.0637556, 0.703349, 0.0445101, 0.076178, 0.331957, 0.0159425, 0.0207374, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
8,  0.35,  0.968936,  1, 0, 0.0212161, 0.665051, 0, 0.85095, 1.60602, 0.0491907, 1.46608, 0.0910439, 0.359791, 0.101565, 1.24401, 0.0424113, 0.199568, 0.360586, 0.0159425, 0.0934713, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
9,  0.4,  0.965648,  1, 0, 0.0770425, 0.683126, 0, 0.966981, 1.64207, 0.111313, 1.47699, 0.0707355, 0.378506, 0.13087, 1.49538, 0, 0.389985, 0.323083, 0, 0.123771, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
10,  0.45,  0.965379,  1, 0, 0.0558264, 0.679184, 0, 1.04196, 1.57255, 0.286288, 1.44329, 0.0513436, 0.489989, 0.100246, 1.90231, 0, 0.549449, 0.32845, 0.00431247, 0.154952, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
11,  0.5,  0.964612,  1, 0, 0.0558264, 0.804139, 0, 1.15318, 1.7288, 0.369821, 1.36644, 0.0442629, 0.652903, 0.0624365, 2.13138, 0.163911, 0.636999, 0.369754, 0.0645128, 0.137895, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
12,  0.55,  0.965,  1, 0, 0, 0.926405, 0, 1.28549, 1.71433, 0.398172, 1.31271, 0.0706526, 0.763604, 0, 2.4958, 0.491734, 0.632822, 0.442299, 0.180601, 0.167031, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
